image,left,top,right,bottom,labels
img_14475.jpg,926,245,1089,349,truck
img_14475.jpg,104,978,371,1336,motorbike
img_14475.jpg,1125,360,1211,406,motorbike
img_14475.jpg,1277,316,1332,478,car
img_14475.jpg,1142,304,1246,436,car
img_14475.jpg,115, 1114, 164, 1172,plate
img_14556.jpg,926,242,1098,349,truck
img_14556.jpg,535,388,637,505,motorbike
img_14556.jpg,1277,316,1335,478,car
img_14556.jpg,1040,251,1074,280,car
img_14556.jpg,1062,254,1102,290,car
img_14801.jpg,951,280,1018,322,motorbike
img_14801.jpg,979,273,1040,307,motorbike
img_14801.jpg,993,246,1053,275,motorbike
img_14801.jpg,350,369,475,508,motorbike
img_14801.jpg,869,496,996,561,motorbike
img_14801.jpg,1064,224,1091,252,car
img_14801.jpg,1029,226,1061,256,car
img_15003.jpg,1434,362,1520,454,motorbike
img_15003.jpg,1344,667,1630,792,motorbike
img_15003.jpg,1278,314,1340,473,car
img_15003.jpg,991,252,1037,282,car
img_15003.jpg,1031,231,1056,255,car
img_15206.jpg,1034,390,1100,436,motorbike
img_15206.jpg,195,936,582,1241,motorbike
img_15206.jpg,986,254,1039,292,car
img_15206.jpg,1281,314,1342,471,car
img_15409.jpg,979,276,1037,309,motorbike
img_15409.jpg,927,407,1052,467,motorbike
img_15409.jpg,1279,315,1338,471,car
img_15611.jpg,992,254,1047,290,car
img_15611.jpg,1024,249,1077,275,car
img_15611.jpg,1282,315,1341,463,car
img_15611.jpg,812,390,1020,604,car
img_15814.jpg,982,283,1034,313,motorbike
img_15814.jpg,1301,415,1417,479,motorbike
img_15814.jpg,0,816,720,1515,car
img_15814.jpg,987,256,1032,287,car
img_15814.jpg,1058,280,1120,349,car
img_15814.jpg,0, 1413, 146, 1511,plate
img_16016.jpg,1902,575,2020,703,motorbike
img_16016.jpg,952,282,1011,324,car
img_16219.jpg,1299,426,1704,681,truck
img_16219.jpg,1299,426,1704,681,bus
img_16219.jpg,1511,349,1613,440,motorbike
img_16219.jpg,1029,233,1057,258,car
img_16219.jpg,988,257,1025,289,car
img_16219.jpg,951,285,1006,326,car
img_16219.jpg,1049,260,1100,310,car
img_16421.jpg,6,344,130,419,motorbike
img_16421.jpg,1631,664,1878,845,motorbike
img_16421.jpg,1177,278,1235,333,car
img_16421.jpg,1035,230,1067,260,car
img_16421.jpg,975,272,1036,312,car
img_16421.jpg,1145,255,1188,291,car
img_16421.jpg,1063,224,1104,261,car
img_16421.jpg,892,293,948,377,car
img_16421.jpg,1174,260,1228,314,car
img_16421.jpg,1085,218,1149,269,car
img_16421.jpg,978,250,1038,294,car
img_16421.jpg,1281,315,1339,458,car
img_16421.jpg,168,693,927,1328,car
img_16421.jpg,884,306,974,407,car
img_16421.jpg,802,406,1010,641,car
img_16421.jpg,273, 1144, 376, 1200,plate
img_16624.jpg,1279,315,1338,465,car
img_16624.jpg,1027,230,1057,259,car
img_16624.jpg,981,253,1029,295,car
img_16624.jpg,887,294,999,397,car
img_16624.jpg,171,669,897,1339,car
img_16624.jpg,275, 1150, 368, 1206,plate
img_16827.jpg,1134,344,1439,565,truck
img_16827.jpg,1134,344,1439,565,bus
img_16827.jpg,1036,226,1067,247,car
img_16827.jpg,957,260,1005,302,car
img_16827.jpg,1174,259,1231,312,car
img_16827.jpg,1071,226,1098,247,car
img_16827.jpg,1134,344,1439,565,car
img_16827.jpg,988,254,1042,288,car
img_16827.jpg,1285,313,1342,449,car
img_16827.jpg,888,295,998,398,car
img_16827.jpg,1199, 565, 1264, 607,plate
img_17029.jpg,1029,282,1101,318,motorbike
img_17029.jpg,1066,225,1089,253,car
img_17029.jpg,1031,231,1057,258,car
img_17029.jpg,1175,260,1226,315,car
img_17029.jpg,982,254,1032,302,car
img_17029.jpg,1280,314,1340,463,car
img_17029.jpg,887,295,997,402,car
img_17029.jpg,1353,646,2122,1240,car
img_17029.jpg,1685, 1296, 1830, 1358,plate
img_17231.jpg,894,423,977,477,motorbike
img_17231.jpg,1028,228,1059,256,car
img_17231.jpg,1144,254,1187,295,car
img_17231.jpg,1170,260,1210,315,car
img_17231.jpg,1089,221,1139,264,car
img_17231.jpg,892,299,999,388,car
img_17231.jpg,1288,314,1348,452,car
img_17231.jpg,976,251,1024,297,car
img_17231.jpg,1159,287,1261,430,car
img_17434.jpg,977,276,1036,310,car
img_17434.jpg,1084,225,1129,275,car
img_17434.jpg,1067,230,1097,262,car
img_17434.jpg,1031,231,1060,261,car
img_17434.jpg,1167,260,1224,328,car
img_17434.jpg,1288,317,1349,459,car
img_17434.jpg,981,255,1027,296,car
img_17434.jpg,887,296,996,399,car
img_17434.jpg,1114,325,1238,527,car
img_17637.jpg,1048,275,1097,297,motorbike
img_17637.jpg,1213,318,1259,377,car
img_17637.jpg,1031,229,1058,256,car
img_17637.jpg,1175,259,1230,315,car
img_17637.jpg,1281,315,1338,461,car
img_17637.jpg,981,255,1028,295,car
img_17637.jpg,887,293,999,397,car
img_17637.jpg,761,437,1047,716,car
img_17637.jpg,816, 586, 903, 618,plate
img_18041.jpg,1033,233,1062,261,car
img_18041.jpg,979,252,1030,296,car
img_18041.jpg,887,293,1001,395,car
img_18041.jpg,658,336,820,613,car
img_18244.jpg,984,303,1061,334,motorbike
img_18244.jpg,1038,278,1080,299,motorbike
img_18244.jpg,1281,314,1340,464,car
img_18244.jpg,647,435,986,759,car
img_18244.jpg,714, 680, 816, 723,plate
img_18447.jpg,976,271,1039,308,car
img_18447.jpg,1175,258,1228,313,car
img_18447.jpg,1281,314,1343,468,car
img_18447.jpg,1029,227,1057,253,car
img_18447.jpg,979,255,1030,296,car
img_18447.jpg,887,294,998,397,car
img_18447.jpg,1285,495,1835,956,car
img_18447.jpg,1556, 926, 1657, 975,plate
img_18852.jpg,1949,925,2335,1023,motorbike
img_18852.jpg,1570,657,1852,843,motorbike
img_18852.jpg,1282,314,1342,469,car
img_18852.jpg,977,280,1030,314,car
img_18852.jpg,1027,235,1053,264,car
img_18852.jpg,982,256,1026,294,car
img_18852.jpg,1136,299,1240,396,car
img_18852.jpg,1063,275,1112,323,car
img_18852.jpg,1063,260,1107,302,car
img_18852.jpg,889,298,996,398,car
img_19054.jpg,1030,231,1057,259,car
img_19054.jpg,972,271,1035,313,car
img_19054.jpg,1173,258,1226,315,car
img_19054.jpg,1282,315,1343,462,car
img_19054.jpg,974,255,1024,301,car
img_19054.jpg,888,294,1000,396,car
img_19054.jpg,1414,335,1522,525,car
img_19054.jpg,94,335,256,637,car
img_19257.jpg,1054,285,1117,317,motorbike
img_19257.jpg,979,283,1031,316,car
img_19257.jpg,1172,259,1222,315,car
img_19257.jpg,1485,712,2307,1272,car
img_19257.jpg,1281,316,1339,466,car
img_19257.jpg,1066,227,1090,256,car
img_19257.jpg,1029,230,1056,259,car
img_19257.jpg,977,255,1026,299,car
img_19257.jpg,887,296,997,399,car
img_19662.jpg,1242,523,1357,597,motorbike
img_19662.jpg,978,276,1034,313,car
img_19662.jpg,1067,225,1091,251,car
img_19662.jpg,1169,259,1222,319,car
img_19662.jpg,976,256,1027,300,car
img_19662.jpg,1031,228,1058,258,car
img_19662.jpg,1279,313,1347,466,car
img_19662.jpg,1275,357,1480,617,car
img_19662.jpg,889,297,996,398,car
img_19662.jpg,1034,308,1120,408,car
img_19662.jpg,1612,518,1882,951,car
img_19865.jpg,1856,567,1991,723,motorbike
img_19865.jpg,1069,232,1096,257,car
img_19865.jpg,977,281,1030,317,car
img_19865.jpg,1028,232,1055,262,car
img_19865.jpg,983,256,1027,296,car
img_19865.jpg,1071,256,1108,297,car
img_19865.jpg,889,296,998,397,car
img_20066.jpg,1219,361,1272,402,motorbike
img_20066.jpg,138,600,534,882,motorbike
img_20066.jpg,1099,252,1136,295,car
img_20066.jpg,978,280,1031,314,car
img_20066.jpg,1027,231,1053,261,car
img_20066.jpg,980,257,1027,298,car
img_20066.jpg,1279,316,1338,462,car
img_20066.jpg,1067,296,1153,394,car
img_20066.jpg,888,298,995,399,car
img_20269.jpg,1172,260,1224,316,car
img_20269.jpg,1279,316,1337,460,car
img_20269.jpg,978,255,1028,298,car
img_20269.jpg,887,294,1001,399,car
img_20269.jpg,1185,350,1365,602,car
img_20471.jpg,1778,697,2116,855,motorbike
img_20471.jpg,887,297,993,392,car
img_20471.jpg,0,1040,486,1590,car
img_20674.jpg,980,252,1030,297,car
img_20674.jpg,986,276,1063,311,car
img_20674.jpg,885,293,1002,400,car
img_20674.jpg,775,388,989,583,car
img_20877.jpg,1281,315,1342,465,car
img_20877.jpg,1031,228,1060,254,car
img_20877.jpg,985,256,1043,298,car
img_20877.jpg,887,292,1004,397,car
img_20877.jpg,776,388,989,580,car
img_21079.jpg,950,548,1120,630,motorbike
img_21079.jpg,1282,314,1341,463,car
img_21079.jpg,1173,260,1224,318,car
img_21079.jpg,1021,227,1057,261,car
img_21079.jpg,974,252,1029,299,car
img_21079.jpg,1256,459,1644,793,car
img_21079.jpg,767,386,988,571,car
img_21079.jpg,886,292,1000,397,car
img_21079.jpg,1431, 754, 1522, 796,plate
img_21281.jpg,649,622,899,765,motorbike
img_21281.jpg,1031,326,1093,367,motorbike
img_21281.jpg,1177,260,1226,313,car
img_21281.jpg,1027,227,1060,257,car
img_21281.jpg,980,255,1029,299,car
img_21281.jpg,775,390,984,589,car
img_21281.jpg,889,298,997,399,car
img_21484.jpg,1119,281,1161,301,motorbike
img_21484.jpg,1040,286,1089,317,motorbike
img_21484.jpg,976,275,1032,308,car
img_21484.jpg,1285,314,1344,456,car
img_21484.jpg,1176,261,1223,310,car
img_21484.jpg,1026,228,1057,260,car
img_21484.jpg,983,258,1029,298,car
img_21484.jpg,887,294,1002,397,car
img_21484.jpg,775,394,983,587,car
img_21687.jpg,981,279,1057,317,car
img_21687.jpg,1030,230,1055,256,car
img_21687.jpg,1093,254,1152,283,car
img_21687.jpg,1285,314,1344,456,car
img_21687.jpg,1176,261,1225,314,car
img_21687.jpg,982,253,1027,293,car
img_21687.jpg,888,296,998,397,car
img_21687.jpg,774,393,983,588,car
img_22091.jpg,1584,677,1849,834,motorbike
img_22091.jpg,1022,226,1056,258,car
img_22091.jpg,978,253,1030,296,car
img_22091.jpg,1594,346,1717,557,car
img_22091.jpg,887,294,1001,398,car
img_22091.jpg,776,395,983,587,car
img_22294.jpg,948,258,999,315,car
img_22294.jpg,1029,227,1057,254,car
img_22294.jpg,1282,315,1341,461,car
img_22294.jpg,1175,260,1227,313,car
img_22294.jpg,983,253,1032,291,car
img_22294.jpg,886,291,1003,396,car
img_22294.jpg,778,388,990,578,car
img_22497.jpg,1193,352,1459,572,truck
img_22497.jpg,1176,259,1229,308,car
img_22497.jpg,1027,232,1055,260,car
img_22497.jpg,980,252,1033,294,car
img_22497.jpg,1200,353,1469,564,car
img_22497.jpg,1283,313,1344,448,car
img_22497.jpg,887,295,999,398,car
img_22497.jpg,302,357,527,740,car
img_22497.jpg,1303, 546, 1366, 575,plate
img_22901.jpg,591,926,838,1096,motorbike
img_22901.jpg,961,408,1084,468,motorbike
img_22901.jpg,1024,283,1084,313,motorbike
img_22901.jpg,1088,248,1148,300,car
img_22901.jpg,608, 1074, 669, 1127,plate
img_23103.jpg,688,373,790,466,motorbike
img_23103.jpg,1248,534,1453,616,motorbike
img_23103.jpg,917,261,1015,352,car
img_23103.jpg,1033,226,1073,256,car
img_23306.jpg,725,681,1561,1973,truck
img_23306.jpg,1196,321,1398,459,truck
img_23306.jpg,1323,699,2118,1379,car
img_23306.jpg,1281,312,1345,459,car
img_23306.jpg,1057,214,1091,256,car
img_23306.jpg,991,257,1030,288,car
img_23306.jpg,1188,332,1370,472,car
img_23306.jpg,1174,259,1226,309,car
img_23306.jpg,935,278,1002,340,car
img_23306.jpg,1053,275,1104,328,car
img_23509.jpg,1632,525,1769,688,motorbike
img_23509.jpg,1033,246,1062,278,car
img_23509.jpg,1208,317,1254,381,car
img_23509.jpg,988,257,1026,291,car
img_23509.jpg,1036,237,1062,268,car
img_23509.jpg,1056,234,1088,272,car
img_23509.jpg,1279,315,1337,467,car
img_23509.jpg,940,279,1006,336,car
img_23509.jpg,1104,278,1151,331,car
img_23711.jpg,1262,418,1776,835,truck
img_23711.jpg,1264,389,1842,804,bus
img_23711.jpg,679,554,831,681,motorbike
img_23711.jpg,1180,279,1240,328,car
img_23711.jpg,949,261,999,312,car
img_23711.jpg,1283,315,1340,458,car
img_23711.jpg,1257,459,1790,898,car
img_23711.jpg,1027,230,1054,259,car
img_23711.jpg,989,253,1029,287,car
img_23711.jpg,1173,259,1224,311,car
img_23711.jpg,939,277,1007,333,car
img_23711.jpg,1065,277,1167,359,car
img_23711.jpg,1487, 880, 1594, 930,plate
img_23914.jpg,986,253,1023,290,car
img_23914.jpg,933,279,1001,342,car
img_23914.jpg,1174,259,1224,314,car
img_23914.jpg,1359,658,2120,1263,car
img_23914.jpg,1726, 1295, 1875, 1367,plate
img_24116.jpg,1539,540,1780,798,motorbike
img_24116.jpg,1237,712,1529,885,motorbike
img_24116.jpg,1175,258,1227,312,car
img_24116.jpg,1030,231,1057,258,car
img_24116.jpg,1277,315,1336,471,car
img_24116.jpg,988,253,1028,289,car
img_24116.jpg,934,280,1001,343,car
img_24319.jpg,987,255,1040,295,car
img_24319.jpg,1279,315,1340,465,car
img_24319.jpg,933,277,997,346,car
img_24319.jpg,984,278,1049,322,car
img_24319.jpg,1030,226,1058,254,car
img_24319.jpg,922,347,1086,478,car
img_24521.jpg,1279,445,1398,509,motorbike
img_24521.jpg,935,283,994,343,car
img_24724.jpg,1025,322,1098,358,motorbike
img_24724.jpg,1052,393,1114,436,motorbike
img_24724.jpg,1030,357,1094,401,motorbike
img_24724.jpg,352,903,578,1069,motorbike
img_24724.jpg,915,467,1029,630,motorbike
img_24724.jpg,1028,236,1051,269,car
img_24724.jpg,972,282,1022,321,car
img_24724.jpg,886,311,997,403,car
img_24724.jpg,954,285,1004,330,car
img_24724.jpg,1089,252,1119,303,car
img_24724.jpg,984,257,1023,296,car
img_24724.jpg,1088,318,1142,377,car
img_24724.jpg,1197,302,1311,484,car
img_24724.jpg,354, 993, 410, 1042,plate
img_24927.jpg,805,522,947,613,motorbike
img_24927.jpg,945,285,1009,338,car
img_24927.jpg,1030,226,1058,255,car
img_24927.jpg,877,313,1018,422,car
img_24927.jpg,1165,294,1281,458,car
img_25129.jpg,841,614,1010,703,motorbike
img_25129.jpg,243,846,668,1116,motorbike
img_25129.jpg,979,278,1033,314,car
img_25129.jpg,1025,251,1070,291,car
img_25129.jpg,930,280,987,340,car
img_25129.jpg,984,254,1035,296,car
img_25129.jpg,1046,261,1099,313,car
img_25129.jpg,1087,304,1162,397,car
img_25129.jpg,899,306,992,389,car
img_25129.jpg,850, 684, 894, 722,plate
img_25129.jpg,245, 1084, 298, 1146,plate
img_25331.jpg,1190,301,1420,472,truck
img_25331.jpg,1067,231,1093,263,car
img_25331.jpg,983,283,1043,323,car
img_25331.jpg,1031,233,1056,263,car
img_25331.jpg,980,255,1027,295,car
img_25331.jpg,895,293,999,385,car
img_25331.jpg,1082,283,1143,360,car
img_25534.jpg,1189,359,1387,515,truck
img_25534.jpg,194,932,534,1202,motorbike
img_25534.jpg,741,558,896,642,motorbike
img_25534.jpg,1188,300,1237,355,car
img_25534.jpg,1066,224,1093,255,car
img_25534.jpg,1033,228,1062,257,car
img_25534.jpg,928,280,984,338,car
img_25534.jpg,1177,348,1358,504,car
img_25534.jpg,984,280,1033,308,car
img_25534.jpg,982,257,1035,299,car
img_25534.jpg,898,310,989,395,car
img_25534.jpg,176, 1121, 230, 1179,plate
img_25737.jpg,941,413,1047,480,motorbike
img_25737.jpg,124,914,565,1212,motorbike
img_25737.jpg,896,353,946,420,car
