Image,left,top,right,bottom,class
img_0.jpg,566,459,1047,873,truck
img_0.jpg,1215,312,1269,378,car
img_0.jpg,1177,258,1228,305,car
img_0.jpg,984,255,1040,297,car
img_0.jpg,1141,251,1189,288,car
img_0.jpg,1030,228,1060,258,car
img_0.jpg,1275,313,1336,465,car
img_0.jpg,598,430,1062,830,car
img_0.jpg,949,277,1014,328,car
img_0.jpg,870,302,978,401,car
img_0.jpg,648,696,753,738,plate
img_10587.jpg,1059,225,1098,273,car
img_10668.jpg,776,740,1037,879,motorbike
img_10668.jpg,957,278,1026,314,car
img_10668.jpg,1069,225,1101,254,car
img_10668.jpg,1100,276,1166,348,car
img_10668.jpg,776,840,824,885,plate
img_10749.jpg,1057,285,1115,314,motorbike
img_10749.jpg,1285,311,1347,454,car
img_10749.jpg,1250,474,1844,956,car
img_10749.jpg,1517,948,1641,1014,plate
img_1083.jpg,954,310,1012,342,motorbike
img_1083.jpg,903,321,952,379,motorbike
img_1083.jpg,773,538,972,631,motorbike
img_1083.jpg,1034,230,1067,256,car
img_1083.jpg,1274,313,1334,470,car
img_1083.jpg,1086,248,1143,306,car
img_10992.jpg,947,274,1017,320,car
img_10992.jpg,1271,317,1322,485,car
img_10992.jpg,976,252,1040,297,car
img_10992.jpg,1033,229,1067,258,car
img_10992.jpg,779,333,902,534,car
img_11397.jpg,1278,315,1339,470,car
img_11397.jpg,1026,228,1054,260,car
img_11397.jpg,0,573,963,1244,car
img_11478.jpg,791,304,1107,546,truck
img_11478.jpg,988,248,1042,283,car
img_11478.jpg,1026,224,1058,255,car
img_11559.jpg,910,243,1137,380,truck
img_11559.jpg,1025,229,1053,262,car
img_11559.jpg,1280,315,1339,464,car
img_1164.jpg,999,269,1067,296,motorbike
img_1164.jpg,345,876,989,1162,motorbike
img_1164.jpg,1290,482,1426,555,motorbike
img_1164.jpg,947,358,1010,405,motorbike
img_1164.jpg,1166,269,1246,334,car
img_1164.jpg,1066,225,1099,254,car
img_1164.jpg,1277,315,1336,464,car
img_1164.jpg,1148,355,1316,495,car
img_1164.jpg,1059,290,1135,371,car
img_1164.jpg,1597,642,2267,1093,car
img_1164.jpg,2005,1181,2043,1246,plate
img_1164.jpg,374,1356,439,1426,plate
img_11883.jpg,914,244,1147,374,truck
img_11883.jpg,1027,229,1056,260,car
img_11883.jpg,1283,312,1344,457,car
img_11964.jpg,916,238,1149,368,truck
img_11964.jpg,1028,230,1057,261,car
img_12288.jpg,1055,300,1191,405,truck
img_12288.jpg,918,263,1107,379,truck
img_12288.jpg,672,674,941,813,motorbike
